Date/Time Published,Post Title,Link
"Mon, 24 Feb 2020 14:00:00 +0000","12 Best Travel Coffee Mugs: Insulated, Steel, Thermal",https://www.wired.com/gallery/best-travel-mugs
"Mon, 24 Feb 2020 11:13:28 EST",Having an eye for colors: Printable light sensors,https://www.sciencedaily.com/releases/2020/02/200224111328.htm
"Mon, 24 Feb 2020 11:13:30 EST",CRISPR gene cuts may offer new way to chart human genome,https://www.sciencedaily.com/releases/2020/02/200224111330.htm
"Mon, 24 Feb 2020 11:13:32 EST",Directing nanoparticles straight to tumors,https://www.sciencedaily.com/releases/2020/02/200224111332.htm
"Mon, 24 Feb 2020 11:13:35 EST",Mirrored chip could enable handheld dark-field microscopes,https://www.sciencedaily.com/releases/2020/02/200224111335.htm
"Mon, 24 Feb 2020 11:13:37 EST",Going super small to get super strong metals,https://www.sciencedaily.com/releases/2020/02/200224111337.htm
"Mon, 24 Feb 2020 11:13:42 EST",Magnetic field at Martian surface ten times stronger than expected,https://www.sciencedaily.com/releases/2020/02/200224111342.htm
"Mon, 24 Feb 2020 11:13:46 EST",Magnetic nano-vortex: Swirling boundaries,https://www.sciencedaily.com/releases/2020/02/200224111346.htm
"Mon, 24 Feb 2020 11:13:52 EST",New way to control the phase of light using 2D materials,https://www.sciencedaily.com/releases/2020/02/200224111352.htm
"Mon, 24 Feb 2020 11:13:59 EST",Soft robot fingers gently grasp deep-sea jellyfish,https://www.sciencedaily.com/releases/2020/02/200224111359.htm
"Mon, 24 Feb 2020 11:14:09 EST",Complexity scientists present 'meme' model for multiple diseases,https://www.sciencedaily.com/releases/2020/02/200224111409.htm
"Mon, 24 Feb 2020 11:14:15 EST",New tech takes radiation out of cancer screening,https://www.sciencedaily.com/releases/2020/02/200224111415.htm
"Mon, 24 Feb 2020 17:40:56 +0000","Xbox Series X Details: Features, Processor, and More",https://www.wired.com/story/xbox-series-x-specs-features-processor
"Mon, 24 Feb 2020 13:09:31 EST","Boost soybean yields by adapting photosynthesis to fleeting shadows, according to model",https://www.sciencedaily.com/releases/2020/02/200224130931.htm
"Mon, 24 Feb 2020 13:11:18 EST",A simple retrofit transforms electron microscopes into high-speed atom-scale cameras,https://www.sciencedaily.com/releases/2020/02/200224131118.htm
"Mon, 24 Feb 2020 13:11:25 EST",'Make two out of one' -- division of artificial cells,https://www.sciencedaily.com/releases/2020/02/200224131125.htm
"Mon, 24 Feb 2020 15:15:02 EST",A year of surprising science from NASA's InSight Mars mission,https://www.sciencedaily.com/releases/2020/02/200224151502.htm
"Mon, 24 Feb 2020 15:27:00 EST","Swarming robots avoid collisions, traffic jams",https://www.sciencedaily.com/releases/2020/02/200224152700.htm
"Mon, 24 Feb 2020 15:27:05 EST",Shining a new light on biomimetic materials,https://www.sciencedaily.com/releases/2020/02/200224152705.htm
"Mon, 24 Feb 2020 15:29:22 EST",Defects add color to quantum systems,https://www.sciencedaily.com/releases/2020/02/200224152922.htm
"Mon, 24 Feb 2020 16:53:05 EST",Design of the W7-X fusion device enables it to overcome obstacles,https://www.sciencedaily.com/releases/2020/02/200224165305.htm
"Mon, 24 Feb 2020 16:53:09 EST",Want to catch a photon? Start by silencing the sun,https://www.sciencedaily.com/releases/2020/02/200224165309.htm
"Mon, 24 Feb 2020 18:34:57 EST","Quadrupling turbines, US can meet 2030 wind-energy goals",https://www.sciencedaily.com/releases/2020/02/200224183457.htm
